"","cat","X","Y","slope","heading_rad","elevRange_25","elevation","latRange_10","latRange_25","latRange_50","UAA","SPI"
"5489",5489,422114.258584604,4562505.17830675,0.0953576013752371,-2.29607477204791,0.1669921875,2229.24365234375,0.0166015625,0.08203125,0.17822265625,99408.8426874492,5033.28454334492
"5490",5490,422269.278483215,4562623.7229351,0.0123243706276831,-2.57266134477755,0.115234375,2229.04174804688,0.076171875,0.115234375,0.20751953125,100852.16235653,6541.70987415772
"5491",5491,422451.654834522,4562705.79229319,0.0245919457921887,-2.82313887015918,0.114990234375,2228.95703125,0.05810546875,0.113525390625,0.203369140625,101640.527174843,3034.29901672907
"5492",5492,422615.793550698,4562806.09928641,0.46399957784907,-2.68428833949515,0.41015625,2228.2900390625,0.133544921875,0.10546875,0.18212890625,48681.1576440762,3430.91040289803
"5493",5493,422834.645172267,4562824.33692154,0.151356552218565,-2.53358093989227,0.10009765625,2226.14404296875,0.0517578125,0.104736328125,0.285400390625,90828.1142445242,1290.53559000554
"5494",5494,422971.427435747,4562961.11918502,0.137214852412115,-2.35619449018916,0.094970703125,2226.14306640625,0.045166015625,0.105224609375,0.20166015625,108337.71818879,259.386769463735
"5495",5495,423117.328516793,4563116.13908363,0.0704249406384247,-2.31843312760633,0.12060546875,2226.94458007812,0.05029296875,0.083251953125,0.19140625,108788.483270986,9700.15112487615
"5496",5496,423208.516692446,4563289.39661738,0.123811458825879,-2.12926843847045,0.15185546875,2226.40625,0.0439453125,0.040771484375,0.040283203125,108989.987705964,3549.20715281376
"5497",5497,423327.061320796,4563453.53533355,0.00113588671125569,-0.878097977983319,0.098388671875,2226.14453125,0.042236328125,0.103515625,0.3251953125,110627.054066656,755.408776719519
"5498",5498,423126.447334358,4563417.06006329,0.0567375226877989,0.033792596464906,0.173828125,2226.34545898438,0.03857421875,0.10595703125,0.103271484375,111105.523027318,268.212007153579
"5499",5499,422953.189800617,4563490.01060381,0.0243079741638452,-1.28925102686319,0.1064453125,2226.14135742188,0.0263671875,0.102783203125,0.2021484375,114474.519668424,580.353959102774
"5500",5500,422998.783888443,4563745.33749564,0.0244783571405626,-2.19193816095347,0.10498046875,2226.0458984375,0.04736328125,0.10400390625,0.111083984375,115074.716474378,3657.89363684482
"5501",5501,423162.92260462,4563854.76330643,0.0474232593710371,-2.62017384110121,0.1484375,2225.95043945312,0.08740234375,0.14111328125,0.1953125,115719.016912663,2759.12081066981
"5502",5502,423327.061320796,4563964.18911721,0.148630442787123,-2.39031334432847,0.11962890625,2225.54296875,0.08935546875,0.095458984375,0.051025390625,116190.146383704,5402.04864369195
"5503",5503,423445.605949146,4564100.97138069,0.286241069867668,-2.57391903148969,0.1689453125,2224.63061523438,0.01806640625,0.020751953125,0.258544921875,115773.596930492,6242.56887215032
"5504",5504,423646.219935584,4564173.92192122,0.141871960299386,-2.44122635229328,0.145751953125,2223.1474609375,0.07470703125,0.099365234375,0.222412109375,121300.544687536,2603.37547865233
"5505",5505,423719.170476106,4564319.82300226,0.0227745273632223,-1.42288369021697,0.097412109375,2223.1416015625,0.013427734375,0.09765625,0.123291015625,123195.066537929,3650.3006345751
"5506",5506,423728.289293672,4564566.03107653,0.0482183795146979,-1.99062181249737,0.218017578125,2222.9921875,0.05712890625,0.135498046875,0.154296875,123836.430449557,7179.22769990295
"5507",5507,423801.239834195,4564684.57570487,0.0108477179636942,-1.54531658747827,0.21533203125,2222.94067382812,0.1083984375,0.205322265625,0.205078125,126472.244574566,3669.82423270172
"5508",5508,423792.121016629,4564930.78377914,0.0469689049915222,-1.5707963267949,0.12744140625,2222.943359375,0.03076171875,0.105712890625,0.109619140625,127014.406921737,563.378523617026
"5509",5509,423737.408111237,4565176.9918534,2.18387667756833,-1.5707963267949,1.05419921875,2220.88793945312,0.03515625,0.157958984375,0.34814453125,83398.4145508274,9108.04452464499
"5510",5510,418922.672436729,4559176.8098954,NA,0,0.16259765625,2244.240234375,0.04345703125,0.101318359375,0.186767578125,202175.983942568,12079.7597613497
"5511",5511,418950.028889425,4559222.40398323,0.170704145997542,-2.17495796754746,0.16748046875,2244.142578125,0.084228515625,0.1943359375,0.39453125,202309.138333931,11229.6742107081
"5512",5512,419013.860612383,4559331.82979401,0.210239200307859,-1.21155383465687,0.257080078125,2243.45263671875,0.012939453125,0.106201171875,0.189453125,127018.051658962,6422.80769953728
"5513",5513,418922.672436729,4559167.69107783,0,-1.5707963267949,0.15576171875,2244.28369140625,0.034423828125,0.134521484375,0.219970703125,202175.983942568,12079.7597613497
